tick,pop_size,n_incarcerated,n_current_smokers,n_AUD,n_alcohol_abstainers,n_exits,n_entries
1088,5000,6,685,287,391,0,0
1089,5000,6,676,285,393,0,0
1090,5000,6,683,286,393,0,0
1091,5000,6,669,284,397,0,0
1092,5000,6,674,289,394,0,0
1093,5000,6,688,291,403,0,0
1094,5000,6,691,289,403,0,0
1095,5000,6,708,288,402,0,0
1096,5000,6,697,292,400,0,0
1097,5000,6,699,292,403,0,0
1098,5000,6,703,290,408,0,0
1099,5000,6,703,288,411,0,0
1100,5000,6,692,288,419,0,0
1101,5000,6,684,285,421,0,0
1102,5000,6,687,284,425,0,0
1103,5000,6,671,284,423,0,0
1104,5000,6,667,283,423,0,0
1105,5000,6,683,283,415,0,0
1106,5000,6,685,280,411,0,0
1107,5000,6,701,279,411,0,0
1108,5000,6,679,279,407,0,0
1109,5000,6,675,279,401,0,0
1110,5000,7,665,275,398,0,0
1111,5000,7,661,274,405,0,0
1112,5000,7,679,272,397,0,0
1113,5000,7,678,275,398,0,0
1114,5000,7,698,278,402,0,0
1115,5000,7,698,276,404,0,0
1116,5000,7,707,275,398,0,0
1117,5000,7,711,276,401,0,0
1118,5000,7,715,273,397,0,0
1119,5000,7,717,276,396,0,0
1120,5000,8,716,279,411,0,0
1121,5000,8,709,279,408,0,0
1122,5000,9,726,277,413,0,0
1123,5000,10,740,278,408,0,0
1124,5000,10,741,277,408,0,0
1125,5000,10,734,280,404,0,0
1126,5000,10,713,274,401,0,0
1127,5000,10,715,275,402,0,0
1128,5000,10,715,276,398,0,0
1129,5000,10,715,276,396,0,0
1130,5000,10,714,273,393,0,0
1131,5000,10,722,275,395,0,0
1132,5000,10,719,272,391,0,0
1133,5000,10,729,273,392,0,0
1134,5000,10,736,271,396,0,0
1135,5000,10,737,275,400,0,0
1136,5000,10,740,275,403,0,0
1137,5000,10,725,275,409,0,0
1138,5000,10,708,278,410,0,0
1139,5000,10,707,274,412,0,0
1140,5000,10,701,272,415,0,0
1141,5000,11,701,267,416,0,0
1142,5000,11,701,268,413,0,0
1143,5000,11,704,276,413,0,0
1144,5000,11,718,281,413,0,0
1145,5000,11,728,283,406,0,0
1146,5000,11,720,279,398,0,0
1147,5000,11,706,281,392,0,0
1148,5000,11,717,282,396,0,0
1149,5000,11,708,282,396,0,0
1150,5000,11,714,280,397,0,0
1151,5000,11,721,281,399,0,0
1152,5000,10,719,281,403,0,0
1153,5000,10,707,280,409,0,0
1154,5000,10,723,280,409,0,0
1155,5000,10,743,279,407,0,0
1156,5000,10,742,279,412,0,0
1157,5000,10,729,279,410,0,0
1158,5000,10,738,278,406,0,0
1159,5000,10,735,275,403,0,0
1160,5000,10,751,274,411,0,0
1161,5000,10,751,275,413,0,0
1162,5000,10,748,278,409,0,0
1163,5000,10,755,275,415,0,0
1164,5000,10,752,275,418,0,0
1165,5000,10,750,275,417,0,0
1166,5000,10,741,268,419,0,0
1167,5000,9,744,270,415,0,0
1168,5000,9,736,273,413,0,0
1169,5000,8,724,272,416,0,0
1170,5000,8,711,271,412,0,0
1171,5000,8,723,270,411,0,0
1172,5000,8,717,265,408,0,0
1173,5000,8,732,266,401,0,0
1174,5000,8,740,269,404,0,0
1175,5000,8,748,272,402,0,0
1176,5000,8,747,274,404,0,0
1177,5000,8,753,279,403,0,0
1178,5000,8,744,278,404,0,0
1179,5000,8,737,278,403,0,0
1180,5000,8,733,277,404,0,0
1181,5000,8,740,275,409,0,0
1182,5000,8,725,277,410,0,0
1183,5000,8,736,276,412,0,0
1184,5000,8,729,273,416,0,0
1185,5000,8,727,271,416,0,0
1186,5000,8,736,269,420,0,0
1187,5000,8,747,269,419,0,0
1188,5000,8,745,271,420,0,0
1189,5000,8,740,273,427,0,0
1190,5000,8,718,275,422,0,0
1191,5000,8,706,275,427,0,0
1192,5000,8,711,276,425,0,0
1193,5000,8,704,278,425,0,0
1194,5000,8,707,279,422,0,0
1195,5000,8,698,282,421,0,0
1196,5000,8,685,280,420,0,0
1197,5000,8,691,280,422,0,0
1198,5000,7,679,276,422,0,0
1199,5000,7,677,274,418,0,0
1200,5000,7,676,272,422,0,0
1201,5000,7,693,275,419,0,0
1202,5000,7,697,274,425,0,0
1203,5000,7,697,278,430,0,0
1204,5000,7,695,276,435,0,0
1205,5000,7,709,280,437,0,0
1206,5000,7,711,284,431,0,0
1207,5000,7,707,284,430,0,0
1208,5000,7,701,282,423,0,0
1209,5000,7,698,281,422,0,0
1210,5000,7,706,281,421,0,0
1211,5000,7,704,283,420,0,0
1212,5000,7,711,282,416,0,0
1213,5000,7,718,281,415,0,0
1214,5000,7,727,282,417,0,0
1215,5000,7,741,278,418,0,0
1216,5000,7,741,275,421,0,0
1217,5000,7,740,274,423,0,0
1218,5000,7,737,275,422,0,0
1219,5000,7,730,275,423,0,0
1220,5000,7,712,271,426,0,0
1221,5000,7,698,271,421,0,0
1222,5000,7,687,276,422,0,0
1223,5000,6,688,280,416,0,0
1224,5000,6,692,280,412,0,0
1225,5000,5,691,274,410,0,0
1226,5000,5,702,274,412,0,0
1227,5000,5,716,268,414,0,0
1228,5000,5,718,268,417,0,0
1229,5000,5,724,269,414,0,0
1230,5000,5,721,273,411,0,0
1231,5000,5,727,274,408,0,0
1232,5000,5,735,275,404,0,0
1233,5000,5,715,277,401,0,0
1234,5000,5,724,283,400,0,0
1235,5000,5,731,285,399,0,0
1236,5000,5,724,283,401,0,0
1237,5000,5,718,285,399,0,0
1238,5000,5,720,286,398,0,0
